,source,author,title,price
46,https://d7hftxdivxxvm.cloudfront.net?height=556&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FumCDV-XcMH89Tx8bHaH-wQ%2Flarger.jpg&width=445,Robert Lemay,"The Madonna, 21st Century ","US$4,895 "
47,https://d7hftxdivxxvm.cloudfront.net?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FMo2aGtqbzF83dpHf16XVRw%2Flarger.jpg&width=445,Jules Olitski,"Queen of Night, 1999","US$24,500–US$26,950 "
48,https://d7hftxdivxxvm.cloudfront.net?height=350&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F1cx0PjOIAQjyRGCGtTsfhA%2Flarger.jpg&width=445,DEB (b. 1979),"Her ways were free, 2022","US$5,000 "
49,https://d7hftxdivxxvm.cloudfront.net?height=315&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FmYRIu6RO-t99TsGjV7MN3g%2Flarger.jpg&width=445,Louis Soutter,"Tête du Christ couronné , 1939","€150,000 "
50,https://d7hftxdivxxvm.cloudfront.net?height=824&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fc9pRTbWA9P3MWC9pJVOK0Q%2Flarger.jpg&width=445,Sonia Delaunay,"Untitled (“Salon de Enfance”), 1966","US$24,000 "
51,https://d7hftxdivxxvm.cloudfront.net?height=427&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FfRaVGLOsJL-Yn9mE0cXqLA%2Flarge.jpg&width=445,Taehoon Park,"Parktaeria(Untitled), 2023","KRW ₩1,200,000 "
52,https://d7hftxdivxxvm.cloudfront.net?height=468&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FdQM8PSDuY5YB0kocDmC4-w%2Flarger.jpg&width=445,Ilidio Candja Candja,"Untitled, 2020","€11,790–€14,800 "
53,https://d7hftxdivxxvm.cloudfront.net?height=311&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FybdqSxejYBqOLvUV4lY8og%2Flarger.jpg&width=445,Claire Fontaine,"The rapper Jay Z, 2011","US$18,500 "
54,https://d7hftxdivxxvm.cloudfront.net?height=216&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FnO0eL7a1FzeJ22zE8dqUaw%2Flarger.jpg&width=445,Thelma Appel,"Sea Garden IV, 2014","US$7,000 "
55,https://d7hftxdivxxvm.cloudfront.net?height=536&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FEm4vuOJSkzArlG5lrxgkrg%2Flarger.jpg&width=445,Deborah Zlotsky,"Madonna and child (Bigfoot), 2023","US$4,000 "
